index,name,fandom,year_joined,latest_year,total_years,gender,race,orientation,country_of_origin,continent,language
The Owl House - Amity Blight,Amity Blight,The Owl House,2021,2024,4,F,White,gay,USA,North America,English
The Owl House - Eda Clawthorne,Eda Clawthorne,The Owl House,2022,2023,2,F,White,bi,USA,North America,English
The Owl House - Hunter | The Golden Guard,Hunter | The Golden Guard,The Owl House,2023,2023,1,M,White,bi,USA,North America,English
The Owl House - Luz Noceda,Luz Noceda,The Owl House,2021,2024,4,F,Af Lat,bi,USA,North America,English
The Owl House - Raine Whispers,Raine Whispers,The Owl House,2022,2023,2,Other,Ambig,woman_attracted,USA,North America,English
The Owl House - Willow Park,Willow Park,The Owl House,2023,2023,1,F,E Asian,bi,USA,North America,English
The Professionals - Ray Doyle,Ray Doyle,The Professionals,2013,2014,2,M,White,str8,UK,Europe,English
The Professionals - William Bodie,William Bodie,The Professionals,2013,2014,2,M,White,str8,UK,Europe,English
The Rookie - Lucy Chen,Lucy Chen,The Rookie,2023,2024,2,F,E Asian (Multi),str8,USA,North America,English
The Rookie - Tim Bradford,Tim Bradford,The Rookie,2023,2024,2,M,White,str8,USA,North America,English
The Sandman - Dream of the Endless,Dream of the Endless,The Sandman,2023,2023,1,M | Other,White,str8,UK,Europe,English
The Sandman - Hob Gadling,Hob Gadling,The Sandman,2023,2023,1,M,White,str8,UK,Europe,English
The Sentinel - Blair Sandburg,Blair Sandburg,The Sentinel,2013,2020,7,M,White,str8,USA,North America,English
The Sentinel - Jim Ellison,Jim Ellison,The Sentinel,2013,2020,7,M,White,str8,USA,North America,English
The Walking Dead - Daryl Dixon,Daryl Dixon,The Walking Dead,2016,2016,1,M,White,str8,USA,North America,English
The Walking Dead - Rick Grimes,Rick Grimes,The Walking Dead,2016,2016,1,M,White,str8,USA,North America,English
The Wilds - Shelby Goodkind,Shelby Goodkind,The Wilds,2022,2024,3,F,White,gay,USA,North America,English
The Wilds - Toni Shalifoe,Toni Shalifoe,The Wilds,2022,2024,3,F,Māori Ind,gay,USA,North America,English
The Witcher | Wiedźmin - Geralt of Rivia | The Witcher,Geralt of Rivia | The Witcher,The Witcher | Wiedźmin,2020,2024,5,M,White,str8,Poland,Europe,Polish
The Witcher | Wiedźmin - Jaskier | Dandelion,Jaskier | Dandelion,The Witcher | Wiedźmin,2020,2024,5,M,White,bi,Poland,Europe,Polish
The X-Files - Dana Scully,Dana Scully,The X-Files,2016,2024,8,F,White,str8,USA,North America,English
The X-Files - Fox Mulder,Fox Mulder,The X-Files,2016,2024,8,M,White,str8,USA,North America,English
Tokyo Ghoul | 東京喰種 - Ken Kaneki | Haise Sasaki,Ken Kaneki | Haise Sasaki,Tokyo Ghoul | 東京喰種,2017,2017,1,M,E Asian,str8,Japan,Asia,Japanese
Tokyo Ghoul | 東京喰種 - Nagachika Hideyoshi,Nagachika Hideyoshi,Tokyo Ghoul | 東京喰種,2017,2017,1,M,E Asian,str8,Japan,Asia,Japanese
Tokyo Revengers | 東京卍リベンジャーズ - Hanagaki 'Takemitchy' Takemichi,Hanagaki 'Takemitchy' Takemichi,Tokyo Revengers | 東京卍リベンジャーズ,2022,2022,1,M,E Asian,str8,Japan,Asia,Japanese
Tokyo Revengers | 東京卍リベンジャーズ - Sano 'Mikey' Manjirou,Sano 'Mikey' Manjirou,Tokyo Revengers | 東京卍リベンジャーズ,2022,2022,1,M,E Asian,unspecified,Japan,Asia,Japanese
Top Gun - Bradley 'Rooster' Bradshaw,Bradley 'Rooster' Bradshaw,Top Gun,2023,2023,1,M,White,unspecified,USA,North America,English
Top Gun - Jake 'Hangman' Seresin,Jake 'Hangman' Seresin,Top Gun,2023,2023,1,M,White,unspecified,USA,North America,English
Top Gun - Pete 'Maverick' Mitchell,Pete 'Maverick' Mitchell,Top Gun,2023,2023,1,M,White,unspecified,USA,North America,English
Top Gun - Tom 'Iceman' Kazansky,Tom 'Iceman' Kazansky,Top Gun,2023,2023,1,M,White,str8,USA,North America,English
Trigun Universe | トライガン - Nicholas D. Wolfwood,Nicholas D. Wolfwood,Trigun Universe | トライガン,2023,2024,2,M,Ambig,unspecified,Japan,Asia,Japanese
Trigun Universe | トライガン - Vash the Stampede,Vash the Stampede,Trigun Universe | トライガン,2023,2024,2,M,Ambig,unspecified,Japan,Asia,Japanese
Twenty One Pilots - Josh Dun,Josh Dun,Twenty One Pilots,2016,2020,4,M,White,str8,USA,North America,English
Twenty One Pilots - Tyler Joseph,Tyler Joseph,Twenty One Pilots,2016,2020,4,M,White (Multi),str8,USA,North America,English
Twilight - Bella Swan,Bella Swan,Twilight,2013,2013,1,F,White,str8,USA,North America,English
Twilight - Edward Cullen,Edward Cullen,Twilight,2013,2013,1,M,White,str8,USA,North America,English
Undertale - Alphys,Alphys,Undertale,2016,2024,8,F,N.H.,bi,USA,North America,English
Undertale - Sans,Sans,Undertale,2016,2017,2,M,Ambig,unspecified,USA,North America,English
Undertale - Undyne,Undyne,Undertale,2016,2024,8,F,N.H.,gay,USA,North America,English
Undertale - Y/N | Reader,Y/N | Reader,Undertale,2016,2017,2,Ambig,Ambig,unspecified,USA,North America,English
Vampire Diaries Universe - Hope Mikaelson,Hope Mikaelson,Vampire Diaries Universe,2020,2024,5,F,White,bi,USA,North America,English
Vampire Diaries Universe - Josie Saltzman,Josie Saltzman,Vampire Diaries Universe,2020,2024,5,F,White,bi,USA,North America,English
Vampire Diaries Universe - Penelope Park,Penelope Park,Vampire Diaries Universe,2020,2023,4,F,SE Asian (Multi),bi,USA,North America,English
Victorious - Jade West,Jade West,Victorious,2015,2016,2,F,White,str8,USA,North America,English
Victorious - Tori Vega,Tori Vega,Victorious,2015,2016,2,F,Latin (Multi),str8,USA,North America,English
Voltron - Adam,Adam,Voltron,2019,2019,1,M,Ambig,gay,USA,North America,English
Voltron - Allura,Allura,Voltron,2017,2017,1,F,N.H.,str8,USA,North America,English
Voltron - Keith,Keith,Voltron,2017,2024,7,M,N.H. (Multi),unspecified,USA,North America,English
Voltron - Lance,Lance,Voltron,2017,2024,7,M,Latin,str8,USA,North America,English
Voltron - Shiro,Shiro,Voltron,2017,2024,7,M,E Asian,gay,USA,North America,English
Warehouse 13 - Helena 'H. G.' Wells,Helena 'H. G.' Wells,Warehouse 13,2014,2024,10,F,White,bi,USA,North America,English
Warehouse 13 - Myka Bering,Myka Bering,Warehouse 13,2014,2024,10,F,White,bi,USA,North America,English
Warrior Nun - Ava Silva,Ava Silva,Warrior Nun,2023,2024,2,F,Latin,bi,USA,North America,English
Warrior Nun - Sister Beatrice,Sister Beatrice,Warrior Nun,2023,2024,2,F,E Asian (Multi),gay,USA,North America,English
Welcome to Night Vale - Carlos,Carlos,Welcome to Night Vale,2014,2017,4,M,Latin,gay,USA,North America,English
Welcome to Night Vale - Cecil Palmer,Cecil Palmer,Welcome to Night Vale,2014,2017,4,M,Unknown,gay,USA,North America,English
Wentworth - Erica Davidson,Erica Davidson,Wentworth,2015,2015,1,F,White,bi,Australia,Oceania,English
Wentworth - Franky Doyle,Franky Doyle,Wentworth,2015,2015,1,F,Latin,gay,Australia,Oceania,English
Women's Soccer - Alex Morgan,Alex Morgan,Women's Soccer,2014,2019,5,F,White,str8,USA,North America,English
Women's Soccer - Ali Krieger,Ali Krieger,Women's Soccer,2014,2021,7,F,White,gay,USA,North America,English
Women's Soccer - Ashlyn Harris,Ashlyn Harris,Women's Soccer,2014,2021,7,F,White,gay,USA,North America,English
Women's Soccer - Christen Press,Christen Press,Women's Soccer,2017,2024,7,F,Black (Multi),gay,USA,North America,English
Women's Soccer - Hope Solo,Hope Solo,Women's Soccer,2015,2017,3,F,White,str8,USA,North America,English
Women's Soccer - Kelley O'Hara,Kelley O'Hara,Women's Soccer,2015,2017,3,F,White,gay,USA,North America,English
Women's Soccer - Tobin Heath,Tobin Heath,Women's Soccer,2014,2024,10,F,White,gay,USA,North America,English
Wynonna Earp - Nicole Haught,Nicole Haught,Wynonna Earp,2016,2024,8,F,White,gay,Canada / USA,North America,English
Wynonna Earp - Waverly Earp,Waverly Earp,Wynonna Earp,2016,2024,8,F,White,bi,Canada / USA,North America,English
Xena - Gabrielle,Gabrielle,Xena,2014,2021,7,F,White,bi,USA,North America,English
Xena - Xena,Xena,Xena,2014,2021,7,F,White,bi,USA,North America,English
Young Royals - Simon Eriksson,Simon Eriksson,Young Royals,2023,2023,1,M,Latin (Multi),gay,Sweden,Europe,Swedish
Young Royals - Wilhelm,Wilhelm,Young Royals,2023,2023,1,M,White,bi,Sweden,Europe,Swedish
Youtube - Alexander | Technoblade,Alexander | Technoblade,Youtube,2021,2024,4,M,White,unspecified,USA,North America,English
Youtube - Alexis 'Alex' Maldonado | Quackity,Alexis 'Alex' Maldonado | Quackity,Youtube,2021,2022,2,M,Latin,unspecified,Mexico,North America,English
Youtube - Charles | Grian,Charles | Grian,Youtube,2023,2024,2,M,White,unspecified,UK,Europe,English
Youtube - Clay | Dream,Clay | Dream,Youtube,2021,2024,4,M,White,str8,USA,North America,English
Youtube - Dan Howell | danisnotonfire,Dan Howell | danisnotonfire,Youtube,2015,2024,9,M,White,gay,UK,Europe,English
Youtube - Darryl Noveschosch | BadBoyHalo,Darryl Noveschosch | BadBoyHalo,Youtube,2021,2021,1,M,White,unspecified,USA,North America,English
Youtube - Gavin Free,Gavin Free,Youtube,2014,2016,3,M,White,str8,UK,Europe,English
Youtube - George Davidson | GeorgeNotFound,George Davidson | GeorgeNotFound,Youtube,2021,2024,4,M,White,unspecified,UK,Europe,English
Youtube - Karl Jacobs,Karl Jacobs,Youtube,2021,2022,2,M,White,unspecified,USA,North America,English
"Youtube - Kristin Watson, née Rosales","Kristin Watson, née Rosales",Youtube,2022,2022,1,F,Latin,str8,USA,North America,English
Youtube - Mark Fischbach | Markiplier,Mark Fischbach | Markiplier,Youtube,2016,2017,2,M,E Asian (Multi),str8,USA,North America,English
Youtube - Michael Jones,Michael Jones,Youtube,2014,2016,3,M,White,str8,USA,North America,English
Youtube - Nicholas Armstrong | Sapnap,Nicholas Armstrong | Sapnap,Youtube,2021,2022,2,M,White,unspecified,USA,North America,English
Youtube - Phil Lester | AmazingPhil,Phil Lester | AmazingPhil,Youtube,2015,2024,9,M,White,gay,UK,Europe,English
Youtube - Phil Watson | Philza,Phil Watson | Philza,Youtube,2021,2024,4,M,White,str8,UK,Europe,English
Youtube - Rafael Lange Severino | Cellbit,Rafael Lange Severino | Cellbit,Youtube,2024,2024,1,M,Latin,unspecified,Brazil,South America,English
Youtube - Ranboo,Ranboo,Youtube,2021,2023,3,M | Other,White,gay,USA,North America,English
Youtube - Roier,Roier,Youtube,2024,2024,1,M,Latin,unspecified,Mexico,North America,English
Youtube - Ryan | GoodTimesWithScar,Ryan | GoodTimesWithScar,Youtube,2023,2024,2,M,White,unspecified,USA,North America,English
Youtube - Sean McLoughlin | Jacksepticeye,Sean McLoughlin | Jacksepticeye,Youtube,2016,2017,2,M,White,str8,Ireland,Europe,English
Youtube - Thomas Michael Simons | TommyInnit,Thomas Michael Simons | TommyInnit,Youtube,2021,2024,4,M,White,str8,UK,Europe,English
Youtube - Toby Smith | Tubbo,Toby Smith | Tubbo,Youtube,2021,2024,4,M,White,queer_unspecified,UK,Europe,English
Youtube - William Patrick Spencer Gold | Wilbur Soot,William Patrick Spencer Gold | Wilbur Soot,Youtube,2021,2024,4,M,White,unspecified,UK,Europe,English
Youtube - Zak Ahmed | Skeppy,Zak Ahmed | Skeppy,Youtube,2021,2021,1,M,MENA,unspecified,USA,North America,English
Yuri!!! on ICE | ユーリ!!! on ICE - Katsuki Yuuri,Katsuki Yuuri,Yuri!!! on ICE | ユーリ!!! on ICE,2017,2024,7,M,E Asian,bi,Japan,Asia,Japanese
Yuri!!! on ICE | ユーリ!!! on ICE - Mila Babicheva,Mila Babicheva,Yuri!!! on ICE | ユーリ!!! on ICE,2017,2021,4,F,White,unspecified,Japan,Asia,Japanese
Yuri!!! on ICE | ユーリ!!! on ICE - Otabek Altin,Otabek Altin,Yuri!!! on ICE | ユーリ!!! on ICE,2017,2020,3,M,Central As,unspecified,Japan,Asia,Japanese
Yuri!!! on ICE | ユーリ!!! on ICE - Sara Crispino,Sara Crispino,Yuri!!! on ICE | ユーリ!!! on ICE,2017,2021,4,F,Latin,unspecified,Japan,Asia,Japanese
Yuri!!! on ICE | ユーリ!!! on ICE - Victor Nikiforov,Victor Nikiforov,Yuri!!! on ICE | ユーリ!!! on ICE,2017,2024,7,M,White,gay,Japan,Asia,Japanese
Yuri!!! on ICE | ユーリ!!! on ICE - Yuri Plisetsky,Yuri Plisetsky,Yuri!!! on ICE | ユーリ!!! on ICE,2017,2020,3,M,White,unspecified,Japan,Asia,Japanese
ZEROBASEONE / ZB1 - Sung Hanbin | Hanbin,Sung Hanbin | Hanbin,ZEROBASEONE / ZB1,2024,2024,1,M,E Asian,unspecified,South Korea,Asia,Korean
ZEROBASEONE / ZB1 - Zhang Hao,Zhang Hao,ZEROBASEONE / ZB1,2024,2024,1,M,E Asian,unspecified,China,Asia,Korean
